08-2-4-2 ἰδοὺ
08-2-4-3 Βοὸς
08-2-4-4 ἦλθεν
08-2-4-5 ἐκ
08-2-4-6 Βαιθλεὲμ,
08-2-4-7 καὶ
08-2-4-8 εἶπεν
08-2-4-9 τοῖς
08-2-4-10 θερίζουσιν·
08-2-4-11 Κύριος
08-2-4-12 μεθ’
08-2-4-13 ὑμῶν.
08-2-4-14 Καὶ
08-2-4-15 εἶπαν
08-2-4-16 αὐτῷ·
08-2-4-17 εὐλογήσαι
08-2-4-18 σε
08-2-4-19 Κύριος.
08-2-5-1 Καὶ
08-2-5-2 εἶπεν
08-2-5-3 Βοὸς
08-2-5-4 τῷ
08-2-5-5 παιδαρίῳ
08-2-5-6 αὐτοῦ,
08-2-5-7 τῷ
08-2-5-8 ἐφεστῶτι
08-2-5-9 ἐπὶ
08-2-5-10 τοὺς
08-2-5-11 θερίζοντας·
08-2-5-12 τίνος
08-2-5-13 ἡ
08-2-5-14 νεᾶνις
08-2-5-15 αὕτη;
08-2-6-1 Καὶ
08-2-6-2 ἀπεκρίθη
08-2-6-3 τὸ
08-2-6-4 παιδάριον
08-2-6-5 τὸ
08-2-6-6 ἐφεστὸς
08-2-6-7 ἐπὶ
08-2-6-8 τοὺς
08-2-6-9 θερίζοντας,
08-2-6-10 καὶ
08-2-6-11 εἶπεν·
08-2-6-12 Ἡ
08-2-6-13 παῖς
08-2-6-14 ἡ
08-2-6-15 Μωαβίτις
08-2-6-16 ἐστὶν,
08-2-6-17 ἡ
08-2-6-18 ἀποστραφεῖσα
08-2-6-19 μετὰ
08-2-6-20 Νωεμμεὶν
08-2-6-21 ἐξ
08-2-6-22 ἀγροῦ
08-2-6-23 Μωάβ·
08-2-7-1 Καὶ
08-2-7-2 εἶπεν·
08-2-7-3 συλλέξω
08-2-7-4 δὴ
08-2-7-5 καὶ
08-2-7-6 συνάξω
08-2-7-7 ἐν
08-2-7-8 τοῖς
08-2-7-9 δράγμασιν
08-2-7-10 ὄπισθεν
08-2-7-11 τῶν
08-2-7-12 θεριζόντων·
08-2-7-13 καὶ
08-2-7-14 ἦλθεν
08-2-7-15 καὶ
08-2-7-16 ἔστη
08-2-7-17 ἀπὸ
08-2-7-18 πρωίθεν
08-2-7-19 καὶ
08-2-7-20 ἕως
08-2-7-21 ἑσπέρας,
08-2-7-22 οὐ
08-2-7-23 κατέπαυσεν
08-2-7-24 ἐν
08-2-7-25 τῷ
08-2-7-26 ἀγρῷ
08-2-7-27 μικρόν.
08-2-8-1 Καὶ
08-2-8-2 εἶπεν
08-2-8-3 Βοὸς
08-2-8-4 πρὸς
08-2-8-5 Ῥούθ·
08-2-8-6 οὐκ
08-2-8-7 ἤκουσας
08-2-8-8 θυγατερ;
08-2-8-9 μὴ
08-2-8-10 πορευθῇς
08-2-8-11 συλλέξαι
08-2-8-12 ἐν
08-2-8-13 ἀγρῷ
08-2-8-14 ἑτέρῳ,
08-2-8-15 καὶ
08-2-8-16 σὺ
08-2-8-17 οὐ
08-2-8-18 πορεύσῃ
08-2-8-19 ἐντεῦθεν,
08-2-8-20 ὧδε
08-2-8-21 κολλήθητι
08-2-8-22 μετὰ
08-2-8-23 τῶν
08-2-8-24 κορασίων
08-2-8-25 μου.
08-2-9-1 Οἱ
08-2-9-2 ὀφθαλμοί
08-2-9-3 σου
08-2-9-4 εἰς
08-2-9-5 τὸν
08-2-9-6 ἀγρὸν
08-2-9-7 οὗ
08-2-9-8 ἐὰν
08-2-9-9 θερίζωσι,
08-2-9-10 καὶ
08-2-9-11 πορεύσῃ
08-2-9-12 κατόπισθεν
08-2-9-13 αὐτῶν·
08-2-9-14 ἰδοὺ
08-2-9-15 ἐνετειλάμην
08-2-9-16 τοῖς
08-2-9-17 παιδαρίοις
08-2-9-18 τοῦ
08-2-9-19 μὴ
08-2-9-20 ἅψασθαί
08-2-9-21 σου·
08-2-9-22 καὶ
